fip_code,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown
22087,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22089,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22093,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22095,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22103,2020-03-13,2020-03-16,2020-03-23,2020-03-23,2020-03-13,,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
22105,,,,,2020-03-13,,,,2020-03-23,,
22109,,,,,2020-03-13,,,,2020-03-23,,
23005,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-04-02,2020-03-16,2020-03-25,2020-03-25,2020-04-01,2020-03-18,
23031,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-04-02,2020-03-18,2020-03-25,2020-03-25,2020-04-02,2020-03-18,
24003,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24005,2020-03-12,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24013,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,2020-04-06,2020-03-30,2020-03-19,
24017,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24021,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24027,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-15,2020-03-23,,2020-03-30,2020-03-19,
24031,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24033,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
24510,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-16,2020-03-23,,2020-03-30,2020-03-19,
25001,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25003,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-16,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25005,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25009,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25011,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25013,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-16,2020-03-23,2020-03-24,2020-03-13,,,
25015,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
