approxDays,Urban,Frac65Plus,PopDensity,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown,flights_prev_week,avg_temp_prev_week,casesPer1M
15,4,0.185216891,77.26479569,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,62.25777833
15,4,0.205625898,92.12298365,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,13.68831702
15,8,0.291085119,31.51572224,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,2,0.148581127,496.8533764,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,11.39047301
15,6,0.165980005,28.69233262,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,4,0.176408984,100.316662,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,22.76685601
15,6,0.172537533,44.95155984,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,2,0.187142896,63.22982515,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,27.07898941
15,8,0.223761833,31.41715552,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,9,0.256549974,10.68294453,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,9,0.308049959,25.57749908,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.219378266,52.33123339,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,9,0.229562896,8.864730775,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,7,0.20250216,34.6990735,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.170072311,51.11643416,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,2,0.203885805,37.92553442,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,7,0.260332676,31.84187328,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,1,0.146022794,74.13530586,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,70.49700388
15,3,0.165120254,591.0700863,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,25.43441989
15,7,0.259263752,13.11121112,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.191309034,20.93428959,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.195257431,38.89145765,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,7,0.195833333,14.92857252,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,8,0.221104762,19.42168511,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,8,0.285602911,18.73506654,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,3,0.150940011,157.5934473,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,19.93660161
15,2,0.186053509,33.12752579,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,92.57544899
15,6,0.189715793,20.72850397,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.214850663,31.5111801,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,1,0.197460374,382.575595,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,179.4788383
15,4,0.166755941,88.58050435,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.211319737,45.67270285,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.208672352,68.38091519,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,8,0.277157293,10.17813427,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,66.48052121
15,3,0.179699072,63.60359199,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,15.59211039
15,2,0.178702186,74.92420452,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,87.17179818
15,7,0.232398257,28.54824691,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,9,0.260356399,8.852276988,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,2,0.204484129,59.52040274,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.239568196,22.12937207,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,3,0.177068258,87.64556575,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,7.383997401
15,6,0.228578005,29.64599505,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,4,0.176767774,186.7383003,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,38.56611196
15,7,0.262564555,19.91935909,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.243663191,38.74875831,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,4,0.169577935,152.9746213,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,46.98751307
15,3,0.164078491,261.7045437,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,42.29045082
15,8,0.186738674,26.30258149,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,4,0.204782862,134.1817904,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,6,0.237968047,28.89244898,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
